load_demand,solar_yield,export_price
51.97,0.0,0.0481
46.33,0.0,0.1022
58.38,0.0,0.1229
58.54,0.0,0.047
48.09,0.0,0.0712
55.26,0.0,0.0776
66.33,0.0,0.0651
98.36,0.0,0.0605
135.22,0.0,-0.0043
180.36,0.0,0.0701
183.45,0.0,0.0517
182.14,0.0,0.0401
169.42,0.0,0.048
177.22,0.0,0.0613
167.62,0.0,0.0536
169.56,0.0,0.0563
173.83,0.0,0.0456
158.41,0.0,0.0869
132.95,0.0,0.0733
84.47,0.0,0.0595
40.51,0.0,0.0824
56.36,0.0,0.0804
47.91,0.0,0.09
51.76,0.0,0.0734
48.11,0.0,0.0861
45.07,0.0,0.059
50.94,0.0,0.0557
39.1,0.0,0.0625
49.23,0.0,0.0604
65.85,0.0,0.0768
40.4,0.0,0.0696
101.41,0.0,0.0403
146.69,0.0,0.0054
163.72,0.0,0.0585
172.62,0.0,0.0566
159.6,0.0,0.052
158.41,0.0,0.07
171.34,0.0,0.0463
173.27,0.0,0.0208
165.46,0.0,0.044
160.95,0.0,-0.0017
163.73,0.0,0.0859
137.13,0.0,0.0764
97.18,0.0,0.1015
55.14,0.0,0.0995
46.92,0.0,0.0678
41.4,0.0,0.0574
60.5,0.0,0.0551
63.13,0.0,0.1193
45.8,0.0,0.0628
48.73,0.0,0.0545
38.26,0.0,0.0635
54.27,0.0,0.0117
66.61,0.0,0.0373
57.55,0.0,0.0226
107.7,0.0,0.0154
126.88,0.0,0.0348
159.54,0.0,0.0432
182.03,0.0,0.0127
171.37,0.0,0.0381
162.86,0.0,0.0534
184.98,0.0,0.0675
165.15,0.0,0.0546
161.04,0.0,0.0748
174.81,0.0,0.0626
159.59,0.0,0.1076
138.18,0.0,0.0923
80.78,0.0,0.0639
52.01,0.0,0.069
52.53,0.0,0.0905
52.12,0.0,0.0656
39.7,0.0,0.0273
48.44,0.0,0.0795
60.99,0.0,0.0577
48.38,0.0,0.0791
40.79,0.0,0.0579
46.44,0.0,0.0682
39.93,0.0,0.1109
32.55,0.0,0.0768
88.59,0.0,0.034
130.8,0.0,0.0526
175.59,0.0,0.0457
173.74,0.0,0.0515
174.92,0.0,0.0087
169.67,0.0,0.0784
187.02,0.0,-0.0007
163.27,0.0,0.0616
167.46,0.0,0.0233
183.27,0.0,0.0545
166.88,0.0,0.0814
129.12,0.0,0.1011
93.23,0.0,0.1069
59.34,0.0,0.0772
51.14,0.0,0.1061
42.93,0.0,0.0778
46.72,0.0,0.0584
54.32,0.0,0.0821
47.64,0.0,0.045
46.26,0.0,0.0594
42.54,0.0,0.0456
59.55,0.0,0.014
49.03,0.0,0.0568
49.08,0.0,0.049
95.44,0.0,0.0722
119.1,0.0,-0.004
170.34,0.0,0.0256
182.04,0.0,0.0736
169.49,0.0,0.0618
171.76,0.0,0.0709
171.58,0.0,0.0939
178.49,0.0,0.0436
171.61,0.0,0.0463
189.75,0.0,0.0942
171.85,0.0,0.0927
126.51,0.0,0.0769
102.1,0.0,0.0782
48.31,0.0,0.0585
45.2,0.0,0.1215
40.49,0.0,0.1307
53.83,0.0,0.1048
46.34,0.0,0.0898
43.78,0.0,0.0834
45.47,0.0,0.0717
47.09,0.0,0.0142
56.66,0.0,0.0415
53.87,0.0,0.0698
48.84,0.0,0.0249
82.49,0.0,0.048
105.15,0.0,0.0724
135.65,0.0,0.0734
128.66,0.0,0.0695
128.74,0.0,0.0564
135.21,0.0,0.0734
135.23,0.0,0.0522
142.09,0.0,0.106
137.99,0.0,0.0288
130.06,0.0,0.0751
123.76,0.0,0.0658
113.06,0.0,0.0978
80.65,0.0,0.0743
57.75,0.0,0.1439
53.67,0.0,0.1057
64.44,0.0,0.0558
48.27,0.0,0.0109
50.33,0.0,0.0457
56.32,0.0,0.0833
56.9,0.0,0.0575
52.62,0.0,0.0446
37.27,0.0,0.036
35.86,0.0,0.0707
46.91,0.0,0.0385
78.17,0.0,0.0339
